pmid, title, abstract, include/exclude, drugs,disease, study type, association
26457269,PATTERN OF OVERACTIVE BLADDER IN SOUTHEAST NIGERIA.,"BACKGROUND: Overactive bladder is a distressing condition characterized by the syndrome of uncontrollable urgency, day time frequency, nocturia with or without urgency urinary incontinence. AIM: To determine the pattern of overactive bladder in two tertiary health institutions in South-East Nigeria. STUDY DESIGN: The study is prospective. SETTING: Federal Teaching Hospital, Abakaliki and Niger Foundation Hospital and Diagnostic centre Enugu in southeastern Nigeria. METHOD: The study involved 383 patients who were diagnosed with overactive bladder in the two hospitals during the study period. Their demographics, clinical feature, management options and outcome were analyzed.Tolterodine was the anticholinegic used to treat the syndrome while the underlying pathology was treated accordingly. RESULT: There were 383 patients out of which 363 (94.8%) patients were males while 20 (5.2%) patients were females with the age range of 37yrs to103yrs with a mean of 63.4yrs. A total of 313 (81.7%) patients had prostatic disease (benign prostatic hyperplasia and cancer of the prostate), while 99 (25.8%) patients had diabetes mellitus. Among the 313(82 %) with prostate disease, two hundred and eighty nine (75.5%) had benign prostatic hyperplasia while twenty four (6.3%) had cancer of the prostate. Urgency, urinary incontinence and fecal incontinence were observed simultaneously in 133 (34.7%) patients during the episode of involuntary painful bladder contraction. In 271 (71%) patients, the overactive bladder was treated with Tolterodine alone and management of the underlying pathology with resolution of symptoms. Few patients benefitted from behavioral therapy. CONCLUSION: Overactive bladder in this environment is associated commonly with prostate diseases with urgency of urine, urine and fecal incontinence but responds well to anticholinergic.",exclude,,,,
25157375,Clinical utility of ammonia concentration as a diagnostic test in monitoring of the treatment with L-asparaginase in children with acute lymphoblastic leukemia.,"L-asparaginase (ASP) is an enzyme used as one of the basic regimens in the acute lymphoblastic leukemia (ALL) therapy. Because of the possibility of the enzyme inactivation by antibodies, monitoring of ASP activity is essential. The aim of the study was to examine if plasma concentration of ammonia, a direct product of the reaction catalyzed by ASP, can be used in the assessment of ASP activity. A group of 87 patients with acute lymphoblastic leukemia treated in the Department of Pediatric Oncology and Hematology in Krakow was enrolled to the study. ASP activity and ammonia concentration were measured after ASP administrations during induction. A positive correlation was found between the ammonia concentration and ASP activity (R = 0.44; P < 0.0001) and between the medium values of ammonia concentration and ASP activity (R = 0.56; P < 0.0001). The analysis of ROC curves revealed the moderate accuracy of the ammonia concentration values in the ASP activity assessment. It was also found that the medium value of ammonia concentrations can be useful in identification of the patients with low (<100â€‰IU/L) and undetectable (<30â€‰IU/L) ASP activity. The plasma ammonia concentration may reflect ASP activity and can be useful when a direct measurement of the activity is unavailable.",exclude,,,,
28068938,Acupuncture combined with methylcobalamin for the treatment of chemotherapy-induced peripheral neuropathy in patients with multiple myeloma.,"BACKGROUND: Chemotherapy-induced peripheral neuropathy (CIPN) seriously affects the quality of life of patients with multiple myeloma (MM) as well as the response rate to chemotherapy. Acupuncture has a potential role in the treatment of CIPN, but at present there have been no randomized clinical research studies to analyze the effectiveness of acupuncture for the treatment of CIPN, particularly in MM patients. METHODS: The MM patients (104 individuals) who met the inclusion criteria were randomly assigned into a solely methylcobalamin therapy group (500Â Î¼g intramuscular methylcobalamin injections every other day for 20Â days; ten injections) followed by 2Â months of 500Â Î¼g oral methylcobalamin administration, three times per day) and an acupuncture combined with methylcobalamin (Metâ€‰+â€‰Acu) group (methylcobalamin used the same way as above accompanied by three cycles of acupuncture). Of the patients, 98 out of 104 completed the treatment and follow-ups. There were 49 patients in each group. The evaluating parameters included the visual analogue scale (VAS) pain score, Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity (Fact/GOG-Ntx) questionnaire scores, and electromyographic (EMG) nerve conduction velocity (NCV) determinations. We evaluated the changes of the parameters in each group before and after the therapies and made a comparison between the two groups. RESULTS: After 84Â days (three cycles) of therapy, the pain was significantly alleviated in both groups, with a significantly higher decrease in the acupuncture treated group (Pâ€‰<â€‰0.01). The patients' daily activity evaluated by Fact/GOG-Ntx questionnaires significantly improved in the Metâ€‰+â€‰Acu group (Pâ€‰<â€‰0.001). The NCV in the Metâ€‰+â€‰Acu group improved significantly while amelioration in the control group was not observed. CONCLUSIONS: The present study suggests that acupuncture combined with methylcobalamin in the treatment of CIPN showed a better outcome than methylcobalamin administration alone. TRIAL REGISTRATION: China Clinical Trials Register (registration no. ChiCTR-INR-16009079 , registration date August 24, 2016).",exclude,,,,
16838234,"A randomized, open-label, multicenter comparative study of the efficacy and safety of piperacillin-tazobactam and cefepime for the empirical treatment of febrile neutropenic episodes in patients with hematologic malignancies.","BACKGROUND: The empirical treatment of febrile, neutropenic patients with cancer requires antibacterial regimens active against both gram-positive and gram-negative pathogens. This study was performed to demonstrate the noninferiority of monotherapy with piperacillin-tazobactam, compared with cefepime. METHODS: We conducted a randomized-controlled, open-label, multicenter clinical trial among high-risk patients from 34 university-affiliated tertiary care medical centers in the United States, Canada, and Australia who were undergoing treatment for leukemia or hematopoietic stem cell transplantation and were hospitalized for empirical treatment of febrile neutropenic episodes. Patients received piperacillin-tazobactam (4.5 g every 6 h) or cefepime (2 g every 8 h) intravenously. The primary outcome was success (defined by defervescence without treatment modification) at 72 h of treatment, end of treatment, and test of cure in the modified intent-to-treat analysis. Secondary outcomes included time to defervescence, microbiological efficacy, the additional use of glycopeptide antibiotics, emergence of resistant bacteria, and safety. RESULTS: For 528 subjects (265 received piperacillin-tazobactam and 263 received cefepime), success rates were 57.7% and 48.3%, respectively (P = .04) at the 72-h time point, 39.6% and 31.6% (P = .06) at end of treatment, and 26.8% and 20.5% (P = .11) at the test-of-cure visit. The analyses demonstrated noninferiority for piperacillin-tazobactam at all time points (P< or = .0001). Treatment with piperacillin-tazobactam was independently associated with treatment success in multivariate analysis (odds ratio, 1.65; 95% confidence interval, 1.04-2.64; P = .035). Both regimens were well tolerated. CONCLUSIONS: This study demonstrates the noninferiority and safety of piperacillin-tazobactam monotherapy, compared with cefepime, for the empirical treatment of high-risk febrile neutropenic patients with cancer.",exclude,,,,
25151488,Randomized double-blind placebo-controlled trial of celecoxib for oral mucositis in patients receiving radiation therapy for head and neck cancer.,"OBJECTIVES: Oral mucositis (OM) is a painful complication of radiation therapy (RT) for head and neck cancer (H&NC). OM can compromise nutrition, require opioid analgesics and hospitalization for pain control, and lead to treatment interruptions. Based on the role of inflammatory pathways in OM pathogenesis, we investigated effect of cyclooxygenase-2 (COX-2) inhibition on severity and morbidity of OM. METHODS: In this double-blind placebo-controlled trial, 40 H&NC patients were randomized to daily use of 200 mg celecoxib or placebo, for the duration of RT. Clinical OM, normalcy of diet, pain scores, and analgesic use were assessed 2-3 times/week by blinded investigators during the 6-7 week RT period, using validated scales. RESULTS: Twenty subjects were randomized to each arm, which were similar with respect to tumor location, radiation dose, and concomitant chemotherapy. In both arms, mucositis and pain scores increased over course of RT. Intention-to-treat analyses demonstrated no significant difference in mean Oral Mucositis Assessment Scale (OMAS) scores at 5000 cGy (primary endpoint). There was also no difference between the two arms in mean OMAS scores over the period of RT, mean worst pain scores, mean normalcy of diet scores, or mean daily opioid medication use in IV morphine equivalents. There were no adverse events attributed to celecoxib use. CONCLUSIONS: Daily use of a selective COX-2 inhibitor, during period of RT for H&NC, did not reduce the severity of clinical OM, pain, dietary compromise or use of opioid analgesics. These findings also have implications for celecoxib use in H&NC treatment regimens (NCT00698204).",exclude,,,,
26716866,Effects of dexmedetomidine on oxygenation and lung mechanics in patients with moderate chronic obstructive pulmonary disease undergoing lung cancer surgery: A randomised double-blinded trial.,"BACKGROUND: Chronic obstructive pulmonary disease (COPD) is a risk factor that increases the incidence of postoperative cardiopulmonary morbidity and mortality after lung resection. Dexmedetomidine, a selective Î±2-adrenoreceptor agonist, has been reported previously to attenuate intrapulmonary shunt during one-lung ventilation (OLV) and to alleviate bronchoconstriction. OBJECTIVE: The objective is to determine whether dexmedetomidine improves oxygenation and lung mechanics in patients with moderate COPD during lung cancer surgery. DESIGN: A randomised, double-blinded, placebo-controlled study. SETTING: Single university hospital. PARTICIPANTS: Fifty patients scheduled for video-assisted thoracoscopic surgery who had moderate COPD. Patients were randomly allocated to a control group or a Dex group (nâ€Š=â€Š25 each). INTERVENTIONS: In the Dex group, dexmedetomidine was given as an initial loading dose of 1.0 â€ŠÎ¼g â€Škg(-1) over 10â€Š min followed by a maintenance dose of 0.5 â€ŠÎ¼g â€Škg(-1) â€Šh(-1) during OLV while the control group was administered a comparable volume of 0.9% saline. Data were measured at 30 â€Šmin (DEX-30) and 60 â€Šmin (DEX-60) after dexmedetomidine or saline administration during OLV. MAIN OUTCOME MEASURES: The primary outcome was the effect of dexmedetomidine on oxygenation. The secondary outcome was the effect of dexmedetomidine administration on postoperative pulmonary complications. RESULTS: Patients in the Dex group had a significantly higher PaO2/FIO2 ratio (27.9â€ŠÂ±â€Š5.8 vs. 22.5â€ŠÂ±â€Š8.4 and 28.6â€ŠÂ±â€Š5.9 vs. 21.0â€ŠÂ±â€Š9.9 kPa, Pâ€Š<â€Š0.05), significantly lower dead space ventilation (19.2â€ŠÂ±â€Š8.5 vs. 24.1â€ŠÂ±â€Š8.1 and 19.6â€ŠÂ±â€Š6.7 vs. 25.3â€ŠÂ±â€Š7.8%, Pâ€Š<â€Š0.05) and higher dynamic compliance at DEX-30 and DEX-60 (Pâ€Š=â€Š0.0001 and Pâ€Š=â€Š0.0184) compared with the control group. In the Dex group, the PaO2/FIO2 ratio in the postoperative period was significantly higher (Pâ€Š=â€Š0.022) and the incidence of ICU admission was lower than in the control group. CONCLUSION: Dexmedetomidine administration may provide clinically relevant benefits by improving oxygenation and lung mechanics in patients with moderate COPD undergoing lung cancer surgery. TRIAL REGISTRATION: ClinicalTrial.gov identifier: NCT 02185430.",exclude,,,,
24702571,Effect of intrathecal dexmedetomidine on spinal morphine analgesia in patients with refractory cancer pain.,"BACKGROUND: Systemic administration of dexmedetomidine has been shown to reduce opioid consumption and improve analgesia satisfaction. The purpose of this study was to investigate the effect of intrathecal dexmedetomidine on spinal morphine analgesia in patients with refractory cancer pain. METHODS: A double-blinded crossover study was designed and performed. Patients were randomly allocated in one of the two phases. Phase M received intrathecal morphine administration. Phase M+D received intrathecal morphine plus dexmedetomidine administration. All patients were monitored for 7 days and crossed over to alternate phase for another 1-week observation. Daily average visual analog scale (VAS) pain score, pain frequency, sleep deprivation, daily morphine consumption, bolus dose injection times, and side effects were all recorded. RESULTS: Pain intensity and frequency were significantly decreased in both phases compared with baseline. Daily morphine consumption and bolus dose injection times during phase M+D were significantly decreased compared with phase M. The incidences of constipation were significantly reduced in both phases compared with baseline administration, but nausea and vomiting were significantly increased. No serious side effects such as respiratory inhibition were observed in this study. CONCLUSIONS: Intrathecal administration of dexmedetomidine and morphine reduced the morphine consumption in patients with refractory cancer pain. There were no serious side effects.",exclude,,,,
28389324,Comparing the incidence of bone tumors in rats chronically exposed to the selective PTH type 1 receptor agonist abaloparatide or PTH(1-34).,"Prolonged treatment with human parathyroid hormone (hPTH) in rats results in development of bone tumors, though this finding has not been supported by clinical experience. The PTH type 1 receptor agonist abaloparatide, selected for its bone anabolic activity, is under clinical development to treat postmenopausal women with osteoporosis. To determine the carcinogenic potential of abaloparatide, Fischer (F344) rats were administered SC daily abaloparatide at doses of 0, 10, 25, and 50 μg/kg or 30 μg/kg hPTH(1-34) as a positive control for up to 2 years. Robust increases in bone density were achieved at all abaloparatide doses and with hPTH(1-34). Comprehensive histopathological analysis reflected a comparable continuum of proliferative changes in bone, mostly osteosarcoma, in both abaloparatide and hPTH(1-34) treated rats. Comparing the effects of abaloparatide and hPTH(1-34) at the 25 and 30 μg/kg respective doses, representing similar exposure multiples to the human therapeutic doses, revealed similar osteosarcoma-associated mortality, tumor incidence, age at first occurrence, and metastatic potential. There were no increases in the incidence of non-bone tumors with abaloparatide compared to vehicle. Thus, near life-long treatment with abaloparatide in rats resulted in dose and time dependent formation of osteosarcomas, with a comparable response to hPTH(1-34) at similar exposure.",exclude,,,,
21044629,"Acycloguanosyl 5'-thymidyltriphosphate, a thymidine analogue prodrug activated by telomerase, reduces pancreatic tumor growth in mice.","BACKGROUND & AIMS: Gemcitabine is the standard of care for metastatic and nonresectable pancreatic tumors. Phase II and III trials have not demonstrated efficacy of recently developed reagents, compared with gemcitabine alone; new chemotherapic agents are needed. Ninety percent of pancreatic tumors have telomerase activity, and expression correlates with tumor stage. We developed a thymidine analogue prodrug, acycloguanosyl 5'-thymidyltriphosphate (ACV-TP-T), that is metabolized by telomerase and releases the active form of acyclovir. We investigated the antitumor efficacy of ACV-TP-T in vitro and in vivo. METHODS: We evaluated proliferation and apoptosis of human pancreatic cancer cells (PANC-1, MiaPaca2, BxPc3, PL45, and Su.86.86) incubated with ACV-TP-T. The presence of ACV-TP-T and its metabolite inside the cells were analyzed by mass spectrometry. In vivo efficacy was evaluated in nude mice carrying PANC-1 or MiaPaca2 pancreatic xenograft tumors. RESULTS: The prodrug of ACV-TP-T was actively metabolized inside pancreatic cancer cells into the activated form of acyclovir; proliferation was reduced, apoptosis was increased, and the cell cycle was altered in pancreatic cancer incubated with ACV-TP-T, compared with controls. Administration of ACV-TP-T to mice reduced growth, increased apoptosis, and reduced proliferation and vascularization of pancreatic xenograft tumors. CONCLUSIONS: ACV-TP-T, a thymidine analogue that is metabolized by telomerase and releases the active form of acyclovir, reduces proliferation and induces apoptosis of human pancreatic cancer cell lines in vitro and pancreatic xenograft tumors in mice.",exclude,,,,
25890381,Albumin nanoparticles increase the anticancer efficacy of albendazole in ovarian cancer xenograft model.,"BACKGROUND: The poor prognosis of patients with drug resistant ovarian cancer and the lack of targeted therapy have raised the need for alternative treatments. Albendazole (ABZ) is an anti-parasite compound capable of impairing microtubule formation. We hypothesized that ABZ could be repurposed as a potential anti-angiogenic drug due to its potent inhibition of vascular endothelial growth factor (VEGF) in ovarian cancer with ascites. However, the poor aqueous solubility of ABZ limits its potential for cancer therapy. In this study, we have assembled ABZ with bovine serum albumin into nanoparticles with a size range of 7-10 nm (BSA-ABZ) and 200-250 nm (Nab-ABZ). We further examined the anticancer effects of ABZ carrying nanoparticles in ovarian cancer cells, in both in vitro and in vivo models. RESULTS: Drug release studies demonstrated that about 93% of ABZ was released from BSA-ABZ 10 nm in comparison to 83% from Nab-ABZ 200 nm at pH 7.4 in 8 days. In vitro cell proliferation studies showed that the BSA-ABZ 10 nm exhibited the highest killing efficacy of ovarian cancer cells with surprisingly least toxicity to healthy ovarian epithelial cells. Confocal microscopy and fluorescence activated cell sorting analysis (FACS) revealed more efficient internalization of the BSA-ABZ 10 nm by cancer cells. For in vivo studies, we examined the tumor growth, ascites formation and the expression of VEGF and secreted protein acidic and rich in cysteine (SPARC) in tumor samples and only VEGF in plasma samples. The BSA-ABZ 10 nm reduced the tumor burden significantly (p < 0.02) at a much lower drug dose (10 μg/ml) compare to free drug. Both formulations were capable of suppressing the ascites volume significantly (p < 0.05) and reducing the number of ascites cells. The expression of VEGF and SPARC was also reduced, which indicates the underlying therapeutic mechanism of the ABZ. CONCLUSION: Our data suggest that the BSA-ABZ may hold promise for the treatment and control of progression of ovarian cancer with ascites. However further studies are required to examine the efficacy of both the formulations in aggressive models of recurrent ovarian cancer with respect to particle size and dosing parameters.",exclude,,,,
27656712,Clinical picture of heparin-induced thrombocytopenia (HIT) and its differentiation from non-HIT thrombocytopenia.,"HIT is an acquired antibody-mediated disorder strongly associated with thrombosis, including microthrombosis secondary to disseminated intravascular dissemination (DIC). The clinical features of HIT are reviewed from the perspective of the 4Ts scoring system for HIT, which emphasises its characteristic timing of onset of thrombocytopenia. HIT antibodies recognize multimolecular complexes of platelet factor 4 (PF4)/heparin. However, a subset of HIT sera recognise PF4 bound to platelet chondroitin sulfate; these antibodies activate platelets in vitro and in vivo even in the absence of heparin, thus explaining: delayed-onset HIT (where HIT begins or worsens after stopping heparin); persisting HIT (where HIT takes several weeks to recover); spontaneous HIT syndrome (a disorder clinically and serologically resembling HIT but without proximate heparin exposure); and fondaparinux-associated HIT (four distinct syndromes featuring thrombocytopenia that begins or worsens during treatment with fondaparinux), with a new patient case presented with ongoing thrombocytopenia (and fatal haemorrhage) during treatment of HIT with fondaparinux, with fondaparinux-dependent platelet activation induced by patient serum (""fondaparinux cross-reactivity""). Ironically, despite existence of fondaparinux-associated HIT, this pentasaccharide anticoagulant is a frequent treatment for HIT (including one used by the author). HIT can be confused with other disorders, including those with a) timing similar to HIT (e. g. abciximab-associated thrombocytopenia of delayed-onset); b) combined thrombocytopenia/thrombosis (e. g. symmetrical peripheral gangrene secondary to acute DIC and shock liver); and c) both timing of onset and thrombosis (e. g. warfarin-associated venous limb gangrene complicating cancer-associated DIC). By understanding clinical and pathophysiological similarities and differences between HIT and non-HIT mimicking disorders, the clinician is better able to make the correct diagnosis.",exclude,,,,
19080093,[Effects of alprostadil and ulinastatin on inflammatory response and lung injury after cardiopulmonary bypass in pediatric patients with congenital heart diseases].,"OBJECTIVE: To investigate the therapeutic effects of alprostadil (Lipo-PGE1) and Ulinastatin on inflammatory response and lung injury after cardiopulmonary bypass (CPB) in pediatric patients with congenital heart diseases. METHODS: 58 children with congenital heart diseases, including atrial septal defect, ventricular septal defect, and atrioventricular septal defect, scheduled to undergo CPB, aged 4 - 72 months, were randomly divided into 4 groups: alprostadil Group P (n = 15) receiving alprostadil 10 ng/ml added into the prime solution and continuous pump infusion of alprostadil 10 ngxkg(-1)xmin(-1) via central vein until the end of operation, Group U (n = 15) receiving ulinastatin 20 000 U/kg divided into several doses to be added into the prime solution, Group PU (n = 14) receiving alprostadil and ulinastatin according to the above protocols, and Group C (control group, n = 14) receiving normal saline of the equal volume. Electrocardiogram (ECG), heart rate (HR), pulse oxygen saturation (SpO(2)), and mean arterial pressure (MAP) were continuously monitored during operation. Duration of mechanical ventilation and staying in ICU were also recorded. Plasma neutrophil (PMN), IL-6, IL-8, IL-10, tumor necrosis factor (TNF)-alpha and matrix metalloproteinase (MMP-9) levels in the radial arterial blood samples were measured after induction of anesthesia before CPB (T(1)), 30 minutes and (T(2)), 2 hours (T(3)), 6 hours (T(4)), and 24 hours (T(5)) after the declamping of aorta. Inhaled oxygen concentration and arterial blood gas analysis were recorded at T(1), T(2), and T(3) for calculation of oxygenation index (OI). RESULTS: There were no significant differences in the MAP and HR among these four groups at any time points (all P > 0.05). The umbers of PMN and the levels of IL-6, IL-8, and TNF-alpha at T(2) and T(3) of Groups P, U, and PU were all significantly lower than that of Group C (all P < 0.05), with those of Group PU being the lowest. The IL-10 levels at T(2) and T(3) of Groups U and PU were significantly higher than that of Group C (both P < 0.05), the level of MMP-9 at T(2) and T(3) of Groups U and PU were significantly lower than that of Group C (all P < 0.05), however, there was not significant difference between Group P and Group C (P > 0.05). The OIs at T(2) of Groups P, U, and PU were significantly higher than that of Group C (all P < 0.05). The mechanical ventilation time of Groups P, U, and PU were all significantly shorter than that of Group C, and that of Group PU was significantly shorter than that of group C (P < 0.05). CONCLUSION: Decreasing the inflammatory response after CPB, alprostadil and ulinastatin used during CPB effectively reduce the pulmonary injury via inhibition of the neutrophil activation and cytokines release.",exclude,,,,
24630419,Alvimopan accelerates gastrointestinal recovery after radical cystectomy: a multicenter randomized placebo-controlled trial.,"BACKGROUND: Radical cystectomy (RC) for bladder cancer is frequently associated with delayed gastrointestinal (GI) recovery that prolongs hospital length of stay (LOS). OBJECTIVE: To assess the efficacy of alvimopan to accelerate GI recovery after RC. DESIGN, SETTING, AND PARTICIPANTS: We conducted a randomized double-blind placebo-controlled trial in patients undergoing RC and receiving postoperative intravenous patient-controlled opioid analgesics. INTERVENTION: Oral alvimopan 12 mg (maximum: 15 inpatient doses) versus placebo. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The two-component primary end point was time to upper (first tolerance of solid food) and lower (first bowel movement) GI recovery (GI-2). Time to discharge order written, postoperative LOS, postoperative ileus (POI)-related morbidity, opioid consumption, and adverse events (AEs) were evaluated. An independent adjudication of cardiovascular AEs was performed. RESULTS AND LIMITATIONS: Patients were randomized to alvimopan (n=143) or placebo (n=137); 277 patients were included in the modified intention-to-treat population. The alvimopan cohort experienced quicker GI-2 recovery (5.5 vs 6.8 d; hazard ratio: 1.8; p<0.0001), shorter mean LOS (7.4 vs 10.1 d; p=0.0051), and fewer episodes of POI-related morbidity (8.4% vs 29.1%; p<0.001). The incidence of opioid consumption and AEs or serious AEs (SAEs) was comparable except for POI, which was lower in the alvimopan group (AEs: 7% vs 26%; SAEs: 5% vs 20%, respectively). Cardiovascular AEs occurred in 8.4% (alvimopan) and 15.3% (placebo) of patients (p=0.09). Generalizability may be limited due to the exclusion of epidural analgesia and the inclusion of mostly high-volume centers utilizing open laparotomy. CONCLUSIONS: Alvimopan is a useful addition to a standardized care pathway in patients undergoing RC by accelerating GI recovery and shortening LOS, with a safety profile similar to placebo. PATIENT SUMMARY: This study examined the effects of alvimopan on bowel recovery in patients undergoing radical cystectomy for bladder cancer. Patients receiving alvimopan experienced quicker bowel recovery and had a shorter hospital stay compared with those who received placebo, with comparable safety. TRIAL REGISTRATION: ClinicalTrials.gov identifier NCT00708201.",exclude,,,,
21292169,"A randomized, placebo-controlled phase 3 trial (Study SB-767905/012) of alvimopan for opioid-induced bowel dysfunction in patients with non-cancer pain.","UNLABELLED: Gastrointestinal (GI) side effects are common with opioid medication, and constipation affects ∼40% of patients. Such symptoms considerably impair patients' quality of life. Alvimopan is an orally administered, systemically available, peripherally acting mu-opioid receptor (PAM-OR) antagonist approved in the US for short-term, in-hospital management of postoperative ileus in patients undergoing bowel resection. This double-blind, placebo-controlled trial was conducted as part of a recently discontinued clinical program, in which alvimopan was being developed for opioid-induced constipation (OIC). Patients (N = 518) receiving opioids for non-cancer pain were randomized to receive alvimopan .5 mg once daily, alvimopan .5 mg twice daily, or placebo for 12 weeks. The primary efficacy endpoint was the proportion of patients experiencing ≥ 3 spontaneous bowel movements (SBMs; bowel movements with no laxative use in the previous 24 hours) per week over the treatment period and an average increase from baseline of ≥ 1 SBM per week. A significantly greater proportion of patients in the alvimopan .5 mg twice-daily group met the primary endpoint compared with placebo (72% versus 48%, P < .001). Treatment with alvimopan twice daily improved a number of other symptoms compared with placebo and reduced the requirement for rescue laxative use. The opioid-induced bowel dysfunction Symptoms Improvement Scale (SIS) responder rate was 40.4% in the alvimopan .5 mg twice daily group, versus 18.6% with placebo (P < .001). In general, alvimopan .5 mg once daily produced qualitatively similar but numerically smaller responses than twice-daily treatment. Active treatment did not increase the requirement for opioid medication or increase average pain intensity scores. Over the 12-week treatment period, alvimopan appeared to be well tolerated. PERSPECTIVE: These results demonstrate the potential for a PAM-OR antagonist to improve the symptoms of OIC without antagonizing opioid analgesia.",exclude,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
